model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs,image_id,class_index,class_hash,class_label,object_category,background_category,background_subcategory
base,inpainted,14,338,460,0,0.0895702391862869,"[460, 978, 425, 525, 562]","[0.08957023918628693, 0.06206518039107323, 0.054036904126405716, 0.048719678074121475, 0.03519316390156746]",ILSVRC2012_val_00016612,338,n02364673,guinea_pig,animals,misc,
base,inpainted,15,17,914,0,0.2282502055168151,"[914, 674, 756, 843, 660]","[0.22825020551681519, 0.05409082770347595, 0.029480695724487305, 0.02732224576175213, 0.02584031969308853]",ILSVRC2012_val_00017975,17,n01580077,jay,animals,misc,
base,inpainted,16,363,692,0,0.1486915498971939,"[692, 458, 549, 478, 922]","[0.1486915498971939, 0.1475704461336136, 0.06738259643316269, 0.04791484773159027, 0.04001618176698685]",ILSVRC2012_val_00018717,363,n02454379,armadillo,animals,misc,
base,inpainted,17,909,492,0,0.1774270683526992,"[492, 427, 478, 519, 921]","[0.17742706835269928, 0.08268557488918304, 0.0723046213388443, 0.06153583526611328, 0.05338658392429352]",ILSVRC2012_val_00019557,909,n04596742,wok,household,misc,
base,inpainted,18,679,679,1,0.3435744941234588,"[679, 725, 723, 929, 999]","[0.34357449412345886, 0.08786439150571823, 0.03214106336236, 0.028449567034840584, 0.025639526546001434]",ILSVRC2012_val_00019798,679,n03814906,necklace,clothing_and_accessories,misc,
base,inpainted,19,618,798,0,0.2336131483316421,"[798, 887, 418, 614, 610]","[0.23361314833164215, 0.1673005372285843, 0.12845052778720856, 0.08747377246618271, 0.03662848100066185]",ILSVRC2012_val_00019976,618,n03633091,ladle,household,misc,
base,inpainted,20,618,616,0,0.1350135803222656,"[616, 121, 533, 775, 794]","[0.13501358032226562, 0.11919043958187103, 0.0695333182811737, 0.06559235602617264, 0.046749286353588104]",ILSVRC2012_val_00022704,618,n03633091,ladle,household,misc,
base,inpainted,21,574,828,0,0.0981627106666565,"[828, 545, 650, 319, 790]","[0.0981627106666565, 0.0816897600889206, 0.07458963245153427, 0.04830809310078621, 0.045441579073667526]",ILSVRC2012_val_00025591,574,n03445777,golf_ball,sports_and_recreation,misc,
base,inpainted,22,658,881,0,0.1298184394836425,"[881, 766, 741, 916, 489]","[0.12981843948364258, 0.10164302587509155, 0.07665418833494186, 0.06493906676769257, 0.04358023405075073]",ILSVRC2012_val_00026827,658,n03775071,mitten,clothing_and_accessories,misc,
base,inpainted,23,461,871,0,0.1743574142456054,"[871, 894, 799, 794, 669]","[0.17435741424560547, 0.1699024736881256, 0.09246092289686203, 0.08117935806512833, 0.05294596776366234]",ILSVRC2012_val_00027658,461,n02895154,breastplate,clothing_and_accessories,misc,
base,inpainted,24,132,703,0,0.3348439931869507,"[703, 581, 835, 421, 538]","[0.3348439931869507, 0.04795048385858536, 0.03851783275604248, 0.02834317646920681, 0.024141782894730568]",ILSVRC2012_val_00028849,132,n02009912,American_egret,animals,misc,
base,inpainted,25,122,519,0,0.9559670686721802,"[519, 525, 492, 677, 769]","[0.9559670686721802, 0.011548077687621117, 0.008267699740827084, 0.007467442192137241, 0.0024607472587376833]",ILSVRC2012_val_00029287,122,n01983481,American_lobster,animals,misc,
base,inpainted,26,12,21,0,0.3197333216667175,"[21, 23, 91, 915, 134]","[0.31973332166671753, 0.15937337279319763, 0.1082746684551239, 0.05950811505317688, 0.058284543454647064]",ILSVRC2012_val_00029709,12,n01532829,house_finch,animals,misc,
base,inpainted,27,679,883,0,0.1234810352325439,"[883, 518, 725, 503, 667]","[0.12348103523254395, 0.06161661446094513, 0.04135177657008171, 0.03477917239069939, 0.033356912434101105]",ILSVRC2012_val_00032707,679,n03814906,necklace,clothing_and_accessories,misc,
base,inpainted,28,23,517,0,0.2214823812246322,"[517, 733, 839, 780, 405]","[0.22148238122463226, 0.12403294444084167, 0.09972716122865677, 0.08000435680150986, 0.06064115837216377]",ILSVRC2012_val_00032889,23,n01616318,vulture,animals,misc,
base,inpainted,29,937,909,0,0.7648040056228638,"[909, 524, 469, 544, 567]","[0.7648040056228638, 0.0702347531914711, 0.038356054574251175, 0.0228981152176857, 0.016069239005446434]",ILSVRC2012_val_00033946,937,n07714990,broccoli,food,misc,
base,inpainted,30,679,429,0,0.2017722725868225,"[429, 673, 622, 725, 773]","[0.2017722725868225, 0.09302548319101334, 0.05048532411456108, 0.05030428245663643, 0.037941765040159225]",ILSVRC2012_val_00034361,679,n03814906,necklace,clothing_and_accessories,misc,
base,inpainted,31,335,282,0,0.1580832451581955,"[282, 263, 338, 287, 162]","[0.1580832451581955, 0.11020749807357788, 0.106112040579319, 0.08940591663122177, 0.08157350867986679]",ILSVRC2012_val_00034812,335,n02356798,fox_squirrel,animals,misc,
base,inpainted,32,76,818,0,0.0890667587518692,"[818, 5, 644, 850, 861]","[0.0890667587518692, 0.07066820561885834, 0.06667586416006088, 0.02391255833208561, 0.02254093997180462]",ILSVRC2012_val_00037280,76,n01774750,tarantula,animals,misc,
base,inpainted,33,851,651,0,0.6523733139038086,"[651, 453, 548, 534, 851]","[0.6523733139038086, 0.08613812178373337, 0.0854683592915535, 0.04979219660162926, 0.03302790969610214]",ILSVRC2012_val_00037523,851,n04404412,television,technology_and_electronics,misc,
base,inpainted,34,770,905,0,0.5024589896202087,"[905, 434, 794, 904, 885]","[0.5024589896202087, 0.05865784361958504, 0.04689200595021248, 0.015071132220327854, 0.014877844601869583]",ILSVRC2012_val_00038439,770,n04120489,running_shoe,clothing_and_accessories,misc,
base,inpainted,35,122,791,0,0.1455845981836319,"[791, 807, 466, 382, 565]","[0.1455845981836319, 0.07202517986297607, 0.05923200398683548, 0.052254416048526764, 0.046199068427085876]",ILSVRC2012_val_00038454,122,n01983481,American_lobster,animals,misc,
base,inpainted,36,712,815,0,0.6414008140563965,"[815, 74, 807, 72, 21]","[0.6414008140563965, 0.06741084903478622, 0.05718149617314339, 0.021167347207665443, 0.019848089665174484]",ILSVRC2012_val_00042149,712,n03920288,Petri_dish,household,misc,
base,inpainted,37,852,410,0,0.2355043441057205,"[410, 47, 694, 599, 38]","[0.23550434410572052, 0.17729902267456055, 0.05736207962036133, 0.05154654383659363, 0.04660671949386597]",ILSVRC2012_val_00042309,852,n04409515,tennis_ball,sports_and_recreation,misc,
base,inpainted,38,12,94,0,0.2066882848739624,"[94, 18, 12, 134, 319]","[0.2066882848739624, 0.16814269125461578, 0.10025417059659958, 0.07190662622451782, 0.02954423986375332]",ILSVRC2012_val_00042370,12,n01532829,house_finch,animals,misc,
base,inpainted,39,849,774,0,0.0787235498428344,"[774, 852, 915, 835, 829]","[0.07872354984283447, 0.04224875941872597, 0.03952133655548096, 0.03290019929409027, 0.03283420205116272]",ILSVRC2012_val_00043087,849,n04398044,teapot,household,misc,
base,inpainted,40,606,664,0,0.2425619661808014,"[664, 598, 532, 851, 846]","[0.2425619661808014, 0.18006740510463715, 0.05029277876019478, 0.04342062771320343, 0.04337001219391823]",ILSVRC2012_val_00044371,606,n03584829,iron,technology_and_electronics,misc,
base,inpainted,41,87,583,0,0.1332547068595886,"[583, 150, 765, 506, 905]","[0.13325470685958862, 0.10616740584373474, 0.09401202946901321, 0.050788912922143936, 0.03854909911751747]",ILSVRC2012_val_00044761,87,n01817953,African_grey,animals,misc,
base,inpainted,42,491,803,0,0.2107513099908828,"[803, 510, 595, 547, 752]","[0.21075130999088287, 0.1205332800745964, 0.09973232448101044, 0.09167904406785965, 0.060002055019140244]",ILSVRC2012_val_00044793,491,n03000684,chain_saw,tools_and_hardware,misc,
base,inpainted,43,964,755,0,0.3106939792633056,"[755, 727, 141, 679, 538]","[0.31069397926330566, 0.17466206848621368, 0.04346511512994766, 0.036366090178489685, 0.0315217450261116]",ILSVRC2012_val_00046375,964,n07875152,potpie,food,misc,
base,inpainted,44,635,492,0,0.1721017211675644,"[492, 664, 620, 782, 681]","[0.1721017211675644, 0.054118476808071136, 0.047857508063316345, 0.04490380734205246, 0.04184529185295105]",ILSVRC2012_val_00048067,635,n03706229,magnetic_compass,technology_and_electronics,misc,
base,inpainted,45,335,904,0,0.1736058443784713,"[904, 357, 337, 314, 98]","[0.17360584437847137, 0.042886409908533096, 0.02709626965224743, 0.021899597719311714, 0.021516786888241768]",ILSVRC2012_val_00049288,335,n02356798,fox_squirrel,animals,misc,
base,inpainted,46,825,825,1,0.0669979527592659,"[825, 580, 192, 258, 328]","[0.0669979527592659, 0.05128098279237747, 0.05085200443863869, 0.04037363827228546, 0.03459743782877922]",ILSVRC2012_val_00003336,825,n04326547,stone_wall,nature,nature,forest
base,inpainted,47,863,863,1,0.1326417922973632,"[863, 336, 733, 825, 979]","[0.13264179229736328, 0.042985595762729645, 0.04045915603637695, 0.026759304106235504, 0.024793289601802826]",ILSVRC2012_val_00004942,863,n04458633,totem_pole,buildings_and_structures,nature,forest
base,inpainted,48,839,328,0,0.0718215033411979,"[328, 863, 815, 381, 384]","[0.07182150334119797, 0.06055211275815964, 0.04614623636007309, 0.042307280004024506, 0.035444363951683044]",ILSVRC2012_val_00005497,839,n04366367,suspension_bridge,buildings_and_structures,nature,forest
base,inpainted,49,257,977,0,0.1260272860527038,"[977, 912, 974, 660, 978]","[0.12602728605270386, 0.0548335500061512, 0.053528785705566406, 0.023533031344413757, 0.02145186811685562]",ILSVRC2012_val_00007246,257,n02111500,Great_Pyrenees,animals,nature,forest
base,inpainted,50,185,293,0,0.3470104336738586,"[293, 888, 649, 646, 425]","[0.34701043367385864, 0.07089825719594955, 0.06933632493019104, 0.061042509973049164, 0.0454285703599453]",ILSVRC2012_val_00008085,185,n02094114,Norfolk_terrier,animals,nature,forest
base,inpainted,51,489,123,0,0.0708197206258773,"[123, 703, 646, 839, 135]","[0.07081972062587738, 0.06069603189826012, 0.051943402737379074, 0.04576209932565689, 0.03797495737671852]",ILSVRC2012_val_00010835,489,n03000134,chainlink_fence,buildings_and_structures,nature,forest
base,inpainted,52,609,84,0,0.0609321780502796,"[84, 346, 274, 271, 295]","[0.06093217805027962, 0.05800885334610939, 0.04152563214302063, 0.03546017035841942, 0.02862250804901123]",ILSVRC2012_val_00013993,609,n03594945,jeep,vehicles,nature,forest
base,inpainted,53,847,815,0,0.4162797331809997,"[815, 329, 979, 116, 390]","[0.41627973318099976, 0.120567686855793, 0.04775051772594452, 0.03035648725926876, 0.01673358678817749]",ILSVRC2012_val_00020377,847,n04389033,tank,vehicles,nature,forest
base,inpainted,54,544,336,0,0.0604857988655567,"[336, 295, 84, 86, 374]","[0.06048579886555672, 0.05898508056998253, 0.0421564057469368, 0.03587036579847336, 0.033305633813142776]",ILSVRC2012_val_00021640,544,n03259280,Dutch_oven,household,nature,forest
base,inpainted,55,179,970,0,0.1277240514755249,"[970, 815, 975, 979, 973]","[0.1277240514755249, 0.1023302972316742, 0.05912671610713005, 0.05642284080386162, 0.05286240205168724]",ILSVRC2012_val_00027428,179,n02093256,Staffordshire_bullterrier,animals,nature,forest
base,inpainted,56,174,825,0,0.1161424443125724,"[825, 271, 352, 295, 134]","[0.11614244431257248, 0.040397290140390396, 0.036039192229509354, 0.031757984310388565, 0.02643059566617012]",ILSVRC2012_val_00028021,174,n02091467,Norwegian_elkhound,animals,nature,forest
base,inpainted,57,349,825,0,0.1231550425291061,"[825, 979, 853, 671, 349]","[0.12315504252910614, 0.053012214601039886, 0.04093531519174576, 0.0353279635310173, 0.032798368483781815]",ILSVRC2012_val_00030991,349,n02415577,bighorn,animals,nature,forest
base,inpainted,58,277,331,0,0.1363919526338577,"[331, 135, 133, 815, 330]","[0.13639195263385773, 0.07879218459129333, 0.066625215113163, 0.05401863157749176, 0.04623034596443176]",ILSVRC2012_val_00032623,277,n02119022,red_fox,animals,nature,forest
base,inpainted,59,518,979,0,0.1305533647537231,"[979, 730, 525, 912, 974]","[0.13055336475372314, 0.0838710144162178, 0.06272899359464645, 0.054963525384664536, 0.05006806179881096]",ILSVRC2012_val_00033284,518,n03127747,crash_helmet,clothing_and_accessories,nature,forest
base,inpainted,60,958,425,0,0.4533389806747436,"[425, 825, 888, 866, 880]","[0.45333898067474365, 0.03916415199637413, 0.03278309851884842, 0.02463432401418686, 0.023434117436408997]",ILSVRC2012_val_00034689,958,n07802026,hay,nature,nature,forest
base,inpainted,61,385,9,0,0.1692179590463638,"[9, 649, 703, 603, 386]","[0.16921795904636383, 0.09576090425252914, 0.09112697839736938, 0.06990273296833038, 0.06941182166337967]",ILSVRC2012_val_00035137,385,n02504013,Indian_elephant,animals,nature,forest
base,inpainted,62,830,825,0,0.2167126834392547,"[825, 425, 621, 522, 646]","[0.21671268343925476, 0.09217696636915207, 0.053303737193346024, 0.03477993980050087, 0.033046867698431015]",ILSVRC2012_val_00037267,830,n04336792,stretcher,sports_and_recreation,nature,forest
base,inpainted,63,132,282,0,0.0712963566184043,"[282, 331, 271, 362, 330]","[0.07129635661840439, 0.05960582569241524, 0.03927147388458252, 0.035258565098047256, 0.03015233762562275]",ILSVRC2012_val_00037714,132,n02009912,American_egret,animals,nature,forest
base,inpainted,64,354,912,0,0.3207407593727112,"[912, 9, 703, 290, 580]","[0.3207407593727112, 0.11605687439441681, 0.0745975449681282, 0.05672219395637512, 0.04498230665922165]",ILSVRC2012_val_00037772,354,n02437312,Arabian_camel,animals,nature,forest
base,inpainted,65,879,912,0,0.2726075649261474,"[912, 975, 980, 703, 984]","[0.27260756492614746, 0.20608627796173096, 0.08028264343738556, 0.04954893887042999, 0.03696808964014053]",ILSVRC2012_val_00038295,879,n04507155,umbrella,household,nature,forest
base,inpainted,66,807,839,0,0.487278014421463,"[839, 979, 646, 975, 671]","[0.487278014421463, 0.10420539230108261, 0.033031921833753586, 0.020747318863868713, 0.019461113959550858]",ILSVRC2012_val_00038855,807,n04258138,solar_dish,buildings_and_structures,nature,forest
base,inpainted,67,863,958,0,0.2056983411312103,"[958, 863, 825, 425, 912]","[0.20569834113121033, 0.0708521157503128, 0.06496710330247879, 0.05449008569121361, 0.04860677197575569]",ILSVRC2012_val_00039521,863,n04458633,totem_pole,buildings_and_structures,nature,forest
base,inpainted,68,821,979,0,0.894208550453186,"[979, 972, 970, 975, 825]","[0.894208550453186, 0.017120037227869034, 0.011513213627040386, 0.009565884247422218, 0.007603762671351433]",ILSVRC2012_val_00041187,821,n04311004,steel_arch_bridge,buildings_and_structures,nature,forest
base,inpainted,69,656,649,0,0.1638851910829544,"[649, 386, 888, 839, 825]","[0.1638851910829544, 0.0876462534070015, 0.045193787664175034, 0.04515201598405838, 0.039229728281497955]",ILSVRC2012_val_00041490,656,n03770679,minivan,vehicles,nature,forest
base,inpainted,70,614,912,0,0.2712125778198242,"[912, 89, 904, 18, 4]","[0.2712125778198242, 0.11029177159070969, 0.10558746755123138, 0.09626354277133942, 0.09041423350572586]",ILSVRC2012_val_00041615,614,n03617480,kimono,clothing_and_accessories,nature,forest
base,inpainted,71,294,295,0,0.1240231320261955,"[295, 839, 979, 972, 858]","[0.12402313202619553, 0.10119687765836716, 0.09332451969385147, 0.06709856539964676, 0.061801593750715256]",ILSVRC2012_val_00042274,294,n02132136,brown_bear,animals,nature,forest
base,inpainted,72,870,730,0,0.1728052198886871,"[730, 912, 274, 340, 825]","[0.17280521988868713, 0.058610640466213226, 0.0480477511882782, 0.03351079300045967, 0.030590197071433067]",ILSVRC2012_val_00043685,870,n04482393,tricycle,vehicles,nature,forest
base,inpainted,73,346,649,0,0.1465938538312912,"[649, 825, 101, 343, 562]","[0.1465938538312912, 0.05715154856443405, 0.040734123438596725, 0.03552495688199997, 0.030772272497415543]",ILSVRC2012_val_00047750,346,n02408429,water_buffalo,animals,nature,forest
base,inpainted,74,194,404,0,0.0525628440082073,"[404, 80, 537, 802, 212]","[0.05256284400820732, 0.05151171609759331, 0.04367092251777649, 0.03686368465423584, 0.025305746123194695]",ILSVRC2012_val_00047757,194,n02096437,Dandie_Dinmont,animals,nature,forest
base,inpainted,75,287,342,0,0.2677554488182068,"[342, 233, 350, 189, 269]","[0.2677554488182068, 0.10838260501623154, 0.06890254467725754, 0.03952335566282272, 0.03642632067203522]",ILSVRC2012_val_00047955,287,n02127052,lynx,animals,nature,forest
base,inpainted,76,295,295,1,0.0673643127083778,"[295, 364, 274, 269, 271]","[0.06736431270837784, 0.05158016458153725, 0.039333783090114594, 0.03927386924624443, 0.03607015684247017]",ILSVRC2012_val_00049973,295,n02133161,American_black_bear,animals,nature,forest
base,inpainted,77,92,128,0,0.4273397624492645,"[128, 91, 131, 80, 138]","[0.4273397624492645, 0.297401487827301, 0.07072748243808746, 0.03254949301481247, 0.026684194803237915]",ILSVRC2012_val_00000051,92,n01828970,bee_eater,animals,nature,tree
base,inpainted,78,17,989,0,0.2356910407543182,"[989, 957, 94, 14, 988]","[0.23569104075431824, 0.15474724769592285, 0.06338101625442505, 0.06152614578604698, 0.04865638166666031]",ILSVRC2012_val_00000880,17,n01580077,jay,animals,nature,tree
base,inpainted,79,105,89,0,0.1993405371904373,"[89, 489, 806, 491, 17]","[0.19934053719043732, 0.08760939538478851, 0.04968101158738136, 0.03480956330895424, 0.03293679654598236]",ILSVRC2012_val_00000970,105,n01882714,koala,animals,nature,tree
base,inpainted,80,356,904,0,0.0663055926561355,"[904, 24, 706, 206, 448]","[0.06630559265613556, 0.060317862778902054, 0.05256024748086929, 0.04222279414534569, 0.040724556893110275]",ILSVRC2012_val_00001386,356,n02441942,weasel,animals,nature,tree
base,inpainted,81,14,95,0,0.248985081911087,"[95, 364, 16, 91, 14]","[0.24898508191108704, 0.1308501660823822, 0.12395723164081573, 0.11478753387928009, 0.08525022119283676]",ILSVRC2012_val_00002449,14,n01537544,indigo_bunting,animals,nature,tree
base,inpainted,82,378,378,1,0.2345755398273468,"[378, 364, 913, 957, 321]","[0.2345755398273468, 0.09930838644504547, 0.053903978317976, 0.03431596979498863, 0.033626895397901535]",ILSVRC2012_val_00004190,378,n02492035,capuchin,animals,nature,tree
base,inpainted,83,59,382,0,0.2152833789587021,"[382, 313, 95, 14, 378]","[0.2152833789587021, 0.14591063559055328, 0.13915376365184784, 0.06785746663808823, 0.03703521192073822]",ILSVRC2012_val_00005262,59,n01739381,vine_snake,animals,nature,tree
base,inpainted,84,95,59,0,0.1927906423807144,"[59, 95, 315, 47, 19]","[0.19279064238071442, 0.10645692050457001, 0.09757443517446518, 0.06883038580417633, 0.05239146202802658]",ILSVRC2012_val_00007284,95,n01843065,jacamar,animals,nature,tree
base,inpainted,85,95,46,0,0.1095953285694122,"[46, 313, 14, 311, 42]","[0.10959532856941223, 0.09740771353244781, 0.07410896569490433, 0.056126344949007034, 0.05112262815237045]",ILSVRC2012_val_00008155,95,n01843065,jacamar,animals,nature,tree
base,inpainted,86,379,379,1,0.1913557946681976,"[379, 387, 375, 381, 364]","[0.19135579466819763, 0.14222756028175354, 0.08962202072143555, 0.06291958689689636, 0.061255261301994324]",ILSVRC2012_val_00009461,379,n02492660,howler_monkey,animals,nature,tree
base,inpainted,87,382,46,0,0.1719206422567367,"[46, 40, 380, 91, 315]","[0.17192064225673676, 0.09125501662492752, 0.08472546935081482, 0.053690992295742035, 0.05237546190619469]",ILSVRC2012_val_00009947,382,n02494079,squirrel_monkey,animals,nature,tree
base,inpainted,88,10,92,0,0.2034086436033249,"[92, 382, 10, 95, 94]","[0.2034086436033249, 0.17273113131523132, 0.13518790900707245, 0.06993692368268967, 0.05586439371109009]",ILSVRC2012_val_00010393,10,n01530575,brambling,animals,nature,tree
base,inpainted,89,383,142,0,0.1615132093429565,"[142, 98, 140, 141, 133]","[0.16151320934295654, 0.07557255029678345, 0.07120946794748306, 0.06229698657989502, 0.048026371747255325]",ILSVRC2012_val_00010645,383,n02497673,Madagascar_cat,animals,nature,tree
base,inpainted,90,378,955,0,0.2893390953540802,"[955, 381, 379, 364, 378]","[0.2893390953540802, 0.12053951621055603, 0.10908588767051697, 0.09782089293003082, 0.060281965881586075]",ILSVRC2012_val_00011032,378,n02492035,capuchin,animals,nature,tree
base,inpainted,91,376,383,0,0.1334849894046783,"[383, 367, 387, 51, 369]","[0.13348498940467834, 0.11963371932506561, 0.08791934698820114, 0.08166873455047607, 0.05519594997167587]",ILSVRC2012_val_00011998,376,n02489166,proboscis_monkey,animals,nature,tree
base,inpainted,92,21,82,0,0.1769929826259613,"[82, 91, 288, 24, 15]","[0.1769929826259613, 0.12130501121282578, 0.08748871088027954, 0.08098801970481873, 0.055903829634189606]",ILSVRC2012_val_00013095,21,n01608432,kite,sports_and_recreation,nature,tree
base,inpainted,93,275,825,0,0.0945972502231597,"[825, 14, 984, 24, 972]","[0.09459725022315979, 0.08721063286066055, 0.08396328240633011, 0.08223608881235123, 0.07142945379018784]",ILSVRC2012_val_00014250,275,n02116738,African_hunting_dog,animals,nature,tree
base,inpainted,94,85,815,0,0.146987497806549,"[815, 74, 387, 295, 93]","[0.14698749780654907, 0.12537603080272675, 0.05404259264469147, 0.043963853269815445, 0.03304653987288475]",ILSVRC2012_val_00016421,85,n01806567,quail,animals,nature,tree
base,inpainted,95,383,271,0,0.0902246534824371,"[271, 274, 580, 371, 294]","[0.09022465348243713, 0.06143546104431152, 0.037179820239543915, 0.03018375299870968, 0.0286223404109478]",ILSVRC2012_val_00017654,383,n02497673,Madagascar_cat,animals,nature,tree
base,inpainted,96,18,133,0,0.1349685341119766,"[133, 14, 12, 11, 15]","[0.13496853411197662, 0.06662748754024506, 0.04481438919901848, 0.04120003804564476, 0.03753068298101425]",ILSVRC2012_val_00018250,18,n01582220,magpie,animals,nature,tree
base,inpainted,97,326,82,0,0.198437362909317,"[82, 10, 17, 13, 139]","[0.19843736290931702, 0.1813105195760727, 0.1406518518924713, 0.062307070940732956, 0.05411809682846069]",ILSVRC2012_val_00018935,326,n02281787,lycaenid,animals,nature,tree
base,inpainted,98,379,88,0,0.2606686353683471,"[88, 379, 96, 378, 387]","[0.26066863536834717, 0.1767449676990509, 0.06213338300585747, 0.05962945148348808, 0.05800079554319382]",ILSVRC2012_val_00019099,379,n02492660,howler_monkey,animals,nature,tree
base,inpainted,99,378,24,0,0.1273436695337295,"[24, 373, 374, 406, 376]","[0.12734366953372955, 0.12200719863176346, 0.10516434162855148, 0.07912485301494598, 0.054444920271635056]",ILSVRC2012_val_00019129,378,n02492035,capuchin,animals,nature,tree
base,inpainted,100,378,334,0,0.218323066830635,"[334, 84, 135, 133, 580]","[0.21832306683063507, 0.16626131534576416, 0.0532887764275074, 0.03435850515961647, 0.03298696503043175]",ILSVRC2012_val_00019432,378,n02492035,capuchin,animals,nature,tree
base,inpainted,101,379,15,0,0.1064348369836807,"[15, 12, 19, 11, 91]","[0.10643483698368073, 0.08856730163097382, 0.061981137841939926, 0.04493096470832825, 0.04139629006385803]",ILSVRC2012_val_00021147,379,n02492660,howler_monkey,animals,nature,tree
base,inpainted,102,12,13,0,0.2422336041927337,"[13, 142, 92, 77, 303]","[0.24223360419273376, 0.14790748059749603, 0.0920422226190567, 0.07712441682815552, 0.06083061918616295]",ILSVRC2012_val_00021523,12,n01532829,house_finch,animals,nature,tree
base,inpainted,103,18,335,0,0.3690033555030823,"[335, 156, 20, 152, 387]","[0.3690033555030823, 0.18293142318725586, 0.056571558117866516, 0.04874006658792496, 0.04680696874856949]",ILSVRC2012_val_00021956,18,n01582220,magpie,animals,nature,tree
base,inpainted,104,428,135,0,0.1369464695453643,"[135, 825, 716, 703, 50]","[0.13694646954536438, 0.048559077084064484, 0.03684015944600105, 0.024788910523056984, 0.022825118154287338]",ILSVRC2012_val_00023460,428,n02797295,barrow,vehicles,nature,tree
base,inpainted,105,376,955,0,0.1098623350262641,"[955, 364, 381, 378, 379]","[0.10986233502626419, 0.0993187204003334, 0.050031665712594986, 0.049930211156606674, 0.027472659945487976]",ILSVRC2012_val_00023642,376,n02489166,proboscis_monkey,animals,nature,tree
base,inpainted,106,379,131,0,0.1036152765154838,"[131, 91, 989, 944, 14]","[0.10361527651548386, 0.0907147228717804, 0.08672535419464111, 0.07012518495321274, 0.06240406259894371]",ILSVRC2012_val_00024386,379,n02492660,howler_monkey,animals,nature,tree
